"국가",2015,2016,2017,2018,2019,2020
"그리스",195396559260.805 (US$),192863396868.058 (US$),200125137434.290 (US$),212249754841.292 (US$),205326724570.227 (US$),189410106620.016 (US$)
"그린란드",2499115623.003 (US$),2707146783.131 (US$),2826651925.669 (US$),3051626389.637 (US$),-,-
"그레나다",997007925.926 (US$),1061631222.222 (US$),1125685185.185 (US$),1168696296.296 (US$),1211403703.704 (US$),1089203703.704 (US$)
"괌",5799000000.000 (US$),5901000000.000 (US$),6013000000.000 (US$),6051000000.000 (US$),6311000000.000 (US$),-
"과테말라",62186186575.743 (US$),66053725049.014 (US$),71654134378.530 (US$),73208583758.911 (US$),77020015201.320 (US$),77604632170.585 (US$)
"기니",8794202443.678 (US$),8595955581.213 (US$),10324668266.595 (US$),11857030336.527 (US$),13513809258.208 (US$),15681050917.159 (US$)
"기니비사우",1048229629.420 (US$),1179004941.229 (US$),1350177127.552 (US$),1504630120.993 (US$),1439638443.381 (US$),1431758242.904 (US$)
"가이아나",4279840361.683 (US$),4482697336.562 (US$),4748174334.190 (US$),4787635821.461 (US$),5173759527.507 (US$),5471256594.724 (US$)
"아이티",14857386163.918 (US$),13723267960.843 (US$),14213814582.794 (US$),15965670198.455 (US$),14332163266.398 (US$),13417997065.110 (US$)
"온두라스",20979767785.210 (US$),21717622071.382 (US$),23136232229.607 (US$),24067778953.842 (US$),25089976946.774 (US$),23827840809.701 (US$)
"헝가리",125074286021.140 (US$),128470534117.954 (US$),142961605733.026 (US$),160431092908.646 (US$),163503650313.081 (US$),155012927629.087 (US$)
"아이슬란드",17517210519.091 (US$),20793168030.952 (US$),24728285177.460 (US$),26224228693.395 (US$),24836714771.464 (US$),21714670569.603 (US$)
"인도",2103587813812.200 (US$),2294797980509.510 (US$),2651472946375.050 (US$),2701111782774.570 (US$),2870504096717.480 (US$),2622983732006.450 (US$)
"인도네시아",860854235065.079 (US$),931877364177.742 (US$),1015618742565.810 (US$),1042271531011.990 (US$),1119091259074.620 (US$),1058423838345.140 (US$)
"이란",384951479697.420 (US$),417983583565.540 (US$),445345256459.105 (US$),294356680624.658 (US$),258245497664.394 (US$),191718271483.759 (US$)
"이라크",166774109673.732 (US$),166602488747.885 (US$),190643898226.351 (US$),212271807144.367 (US$),222434137055.838 (US$),167224432560.319 (US$)
"아일랜드",291639154650.168 (US$),299759848650.387 (US$),339341385919.831 (US$),386155676371.470 (US$),398590210120.337 (US$),418621818482.305 (US$)
"이스라엘",300122499721.281 (US$),318616506157.945 (US$),352667925811.028 (US$),370455651179.958 (US$),394652208893.138 (US$),401953804837.087 (US$)
"이탈리아",1836637711060.550 (US$),1877071687633.780 (US$),1961796197354.360 (US$),2092138739019.840 (US$),2004913357800.000 (US$),1886445268340.710 (US$)
"자메이카",14188935947.569 (US$),14077109396.858 (US$),14808989993.319 (US$),15730793852.791 (US$),15830768549.892 (US$),13812421803.408 (US$)
"일본",4389475622588.970 (US$),4922538141454.620 (US$),4866864409657.680 (US$),4954806619995.190 (US$),5064872875604.590 (US$),-
"요르단",38587017887.324 (US$),39892551126.761 (US$),41408960845.070 (US$),42932112676.056 (US$),44502895915.493 (US$),43697659275.314 (US$)
"카자흐스탄",184388432148.715 (US$),137278320084.171 (US$),166805800595.704 (US$),179339994859.384 (US$),181667190075.541 (US$),169835426427.153 (US$)
"케냐",64007750169.334 (US$),69188755364.300 (US$),78965004656.182 (US$),87778582964.139 (US$),95503088538.092 (US$),98842939649.115 (US$)
"키리바시",171117872.436 (US$),178328873.030 (US$),187276210.914 (US$),196737895.995 (US$),194647201.946 (US$),199573325.993 (US$)
"한국",1465773245547.150 (US$),1500111596236.370 (US$),1623901496835.790 (US$),1724845615629.260 (US$),1646739219509.890 (US$),1630525005469.110 (US$)
"쿠웨이트",114567298105.683 (US$),109419728566.700 (US$),120707435412.358 (US$),138182400493.585 (US$),136196760180.976 (US$),-
"키르기스스탄",6678178340.451 (US$),6813092065.835 (US$),7702934800.128 (US$),8271106196.043 (US$),8871019822.767 (US$),7735976612.642 (US$)
"라오스",14390442307.400 (US$),15805692545.872 (US$),16853087485.412 (US$),17953786416.143 (US$),18245925331.240 (US$),19136194848.653 (US$)
"라트비아",27250610746.068 (US$),28071381729.731 (US$),30458763245.512 (US$),34416012859.187 (US$),34055464655.325 (US$),33505185228.707 (US$)
"레바논",49939374832.703 (US$),51205122503.814 (US$),53140638269.121 (US$),54961275741.559 (US$),51991634491.635 (US$),33383246857.580 (US$)
"레소토",2359759799.042 (US$),2114323793.983 (US$),2306843528.529 (US$),2514146887.917 (US$),2366213068.575 (US$),1844510137.678 (US$)
"라이베리아",3177000000.000 (US$),3277826000.000 (US$),3285455000.000 (US$),3264000000.000 (US$),3070518100.000 (US$),2950000000.000 (US$)
"리비아",27842131479.873 (US$),26197143268.124 (US$),37883243650.452 (US$),52607888717.949 (US$),52091152228.343 (US$),25418461532.201 (US$)
"리히텐슈타인",6268391521.197 (US$),6237264055.206 (US$),6474256118.615 (US$),6839145106.862 (US$),-,-
"리투아니아",41435533340.388 (US$),43047309305.736 (US$),47758736931.780 (US$),53722883091.351 (US$),54639938780.235 (US$),55887271833.003 (US$)
"룩셈부르크",57767685136.806 (US$),60732711000.643 (US$),64181944722.728 (US$),70919958015.525 (US$),71104919108.141 (US$),73263982103.012 (US$)
"마카오",45060237946.149 (US$),45085114632.713 (US$),50456765512.086 (US$),55302446577.888 (US$),55153707948.702 (US$),-
"북마케도니아",10071243243.243 (US$),10680463278.865 (US$),11310265324.794 (US$),12679934731.389 (US$),12547086168.490 (US$),12266949805.144 (US$)
"마다가스카르",11323023786.570 (US$),11848615018.398 (US$),13176313233.198 (US$),13614412550.872 (US$),14191911512.041 (US$),13720634105.403 (US$)
"말라위",6373212640.846 (US$),5433040159.887 (US$),8787570920.444 (US$),9712994564.916 (US$),10862613621.906 (US$),11961848552.598 (US$)
"말레이시아",301354803994.367 (US$),301255380276.258 (US$),319112136545.438 (US$),358715057123.739 (US$),364681367531.684 (US$),336664444247.042 (US$)
"몰디브",4109447297.007 (US$),4379115587.830 (US$),4754352303.893 (US$),5299773143.696 (US$),5642179170.459 (US$),4030203166.775 (US$)
"말리",13104764333.994 (US$),14026048690.731 (US$),15365714371.332 (US$),17070866299.095 (US$),17281815733.960 (US$),17393761397.081 (US$)
"몰타",11091434483.524 (US$),11721521912.720 (US$),13221298307.889 (US$),14864712990.163 (US$),15215714309.097 (US$),14647384607.604 (US$)
"마셜제도",183814300.000 (US$),201510900.000 (US$),213204100.000 (US$),221588900.000 (US$),239462200.000 (US$),-
"모리타니",6166857628.622 (US$),6398744505.081 (US$),6757333550.279 (US$),7050987978.121 (US$),7600650037.846 (US$),7778525642.929 (US$)
"모리셔스",11692287066.381 (US$),12232469391.757 (US$),13259348213.990 (US$),14181930162.416 (US$),14046337854.847 (US$),10914065306.242 (US$)
"멕시코",1171867608197.720 (US$),1078490651625.310 (US$),1158913035796.370 (US$),1222348807283.200 (US$),1268870527160.030 (US$),1076163316174.940 (US$)
"미크로네시아",316489900.000 (US$),332265200.000 (US$),366666800.000 (US$),401932300.000 (US$),408060600.000 (US$),-
"몰도바",7745231660.334 (US$),8071480540.861 (US$),9669759987.026 (US$),11456728401.307 (US$),11968699005.980 (US$),11914040905.263 (US$)
"모나코",6261622101.409 (US$),6472990923.179 (US$),6431314957.072 (US$),7194024563.061 (US$),7423709839.919 (US$),-
"몽골",11749620619.596 (US$),11186734674.385 (US$),11425755279.540 (US$),13108769495.747 (US$),13996719329.424 (US$),13137128659.479 (US$)
"모로코",101179808076.360 (US$),103311649248.024 (US$),109682728023.112 (US$),118096227400.092 (US$),119700325461.938 (US$),112870591694.044 (US$)
"모잠비크",15950969018.946 (US$),11936999283.179 (US$),13219084261.366 (US$),14845870050.709 (US$),15291448211.603 (US$),14021421105.908 (US$)
"미얀마",60291736893.940 (US$),61449392056.149 (US$),67144725830.575 (US$),68697759361.231 (US$),79844294296.065 (US$),76185586096.797 (US$)
"나미비아",11335179560.987 (US$),10721994676.243 (US$),12895153157.346 (US$),13681065175.486 (US$),12565772084.744 (US$),10699926682.651 (US$)
"네팔",24360795410.160 (US$),24524098184.424 (US$),28971589213.134 (US$),33111525182.713 (US$),34186180694.929 (US$),33657175561.329 (US$)
"네덜란드",765572770634.375 (US$),784060430240.080 (US$),833869641687.060 (US$),914043438179.607 (US$),907050863145.097 (US$),912242335119.069 (US$)
"뉴질랜드",172685516549.535 (US$),192420540208.426 (US$),208071723251.121 (US$),208870426803.316 (US$),209127454522.901 (US$),212482013605.047 (US$)
"니카라과",12756706583.311 (US$),13286083644.876 (US$),13785909906.193 (US$),13025208219.769 (US$),12611218627.063 (US$),12621476263.828 (US$)
"니제르",9685577941.032 (US$),10355006770.101 (US$),11189541083.398 (US$),12846952856.846 (US$),12911689659.351 (US$),13678234008.471 (US$)
"나이지리아",486803295097.890 (US$),404650006428.613 (US$),375746469538.666 (US$),397190484464.308 (US$),448120428858.769 (US$),432293776262.398 (US$)
"북마리아나제도",910000000.000 (US$),1230000000.000 (US$),1560000000.000 (US$),1302000000.000 (US$),1182000000.000 (US$),-
"노르웨이",385801550067.169 (US$),368827142857.143 (US$),398393955268.990 (US$),436999692591.454 (US$),405510000000.000 (US$),362008956544.827 (US$)
"오만",68420257566.604 (US$),65441278668.295 (US$),70585606843.780 (US$),79788768968.949 (US$),76331518668.577 (US$),-
"파키스탄",270556131701.171 (US$),278654637737.690 (US$),304567253219.097 (US$),314567541558.339 (US$),278221906022.841 (US$),263686552686.208 (US$)
"팔라우",280457700.000 (US$),295065400.000 (US$),286106800.000 (US$),280435700.000 (US$),268354900.000 (US$),-
"파나마",54091800000.000 (US$),57907700000.000 (US$),62202700000.000 (US$),64928300000.000 (US$),66787900000.000 (US$),52938100000.000 (US$)
"파푸아뉴기니",21723531173.241 (US$),20759069103.096 (US$),22742613553.688 (US$),24109509852.740 (US$),24829107011.070 (US$),23591523025.286 (US$)
"파라과이",36211372702.809 (US$),36089550659.091 (US$),38997129473.556 (US$),40225448340.632 (US$),37906944074.613 (US$),35304238230.113 (US$)
"페루",189805300841.603 (US$),191895943823.887 (US$),211007207483.515 (US$),222574697255.522 (US$),228470919605.669 (US$),202014363787.233 (US$)
"필리핀",306446140628.709 (US$),318626761492.867 (US$),328480867142.690 (US$),346842094174.513 (US$),376823278560.849 (US$),361489354350.000 (US$)
"폴란드",477811911394.084 (US$),472630364208.177 (US$),526508877305.321 (US$),587408980271.710 (US$),595862086928.211 (US$),594164690894.936 (US$)
"포르투갈",199394066525.440 (US$),206426152308.931 (US$),221357874718.930 (US$),242313116577.967 (US$),239510770948.274 (US$),231255587276.741 (US$)
