"크로아티아",-0.893 (annual %),14.512 (% of total),65.043 (% of total),20.445 (% of total),-0.554 (annual %),14.562 (% of total),64.578 (% of total),20.860 (% of total),-0.445 (annual %),14.542 (% of total),64.206 (% of total),21.252 (% of total)
"쿠바",-0.010 (annual %),16.211 (% of total),68.603 (% of total),15.186 (% of total),-0.041 (annual %),16.042 (% of total),68.393 (% of total),15.565 (% of total),-0.061 (annual %),15.921 (% of total),68.186 (% of total),15.893 (% of total)
"키프로스",0.809 (annual %),16.788 (% of total),69.493 (% of total),13.719 (% of total),0.780 (annual %),16.707 (% of total),69.245 (% of total),14.048 (% of total),0.730 (annual %),16.577 (% of total),69.014 (% of total),14.409 (% of total)
"체코",0.334 (annual %),15.587 (% of total),64.993 (% of total),19.421 (% of total),0.394 (annual %),15.723 (% of total),64.476 (% of total),19.801 (% of total),0.253 (annual %),15.756 (% of total),64.101 (% of total),20.143 (% of total)
"덴마크",0.496 (annual %),16.458 (% of total),63.729 (% of total),19.813 (% of total),0.358 (annual %),16.401 (% of total),63.634 (% of total),19.965 (% of total),0.292 (annual %),16.282 (% of total),63.554 (% of total),20.164 (% of total)
"지부티",1.558 (annual %),29.574 (% of total),65.898 (% of total),4.528 (% of total),1.515 (annual %),29.205 (% of total),66.186 (% of total),4.609 (% of total),1.473 (annual %),28.912 (% of total),66.381 (% of total),4.706 (% of total)
"도미니카연방",0.232 (annual %),-,-,-,0.254 (annual %),-,-,-,0.255 (annual %),-,-,-
"도미니카공화국",1.079 (annual %),27.977 (% of total),64.940 (% of total),7.083 (% of total),1.047 (annual %),27.709 (% of total),64.993 (% of total),7.298 (% of total),1.009 (annual %),27.439 (% of total),65.033 (% of total),7.528 (% of total)
"에콰도르",1.766 (annual %),28.029 (% of total),64.814 (% of total),7.157 (% of total),1.679 (annual %),27.707 (% of total),64.921 (% of total),7.372 (% of total),1.539 (annual %),27.392 (% of total),65.017 (% of total),7.591 (% of total)
"이집트",2.033 (annual %),33.799 (% of total),60.972 (% of total),5.230 (% of total),1.976 (annual %),33.835 (% of total),60.889 (% of total),5.276 (% of total),1.920 (annual %),33.921 (% of total),60.747 (% of total),5.332 (% of total)
"엘살바도르",0.509 (annual %),27.132 (% of total),64.581 (% of total),8.287 (% of total),0.510 (annual %),26.858 (% of total),64.672 (% of total),8.470 (% of total),0.505 (annual %),26.591 (% of total),64.758 (% of total),8.651 (% of total)
"적도기니",3.653 (annual %),37.117 (% of total),60.426 (% of total),2.458 (% of total),3.529 (annual %),36.957 (% of total),60.619 (% of total),2.425 (% of total),3.408 (annual %),36.779 (% of total),60.839 (% of total),2.381 (% of total)
"에스토니아",0.348 (annual %),16.357 (% of total),64.017 (% of total),19.626 (% of total),0.372 (annual %),16.463 (% of total),63.545 (% of total),19.992 (% of total),0.313 (annual %),16.498 (% of total),63.129 (% of total),20.373 (% of total)
"에티오피아",2.620 (annual %),40.783 (% of total),55.716 (% of total),3.501 (% of total),2.580 (annual %),40.336 (% of total),56.147 (% of total),3.517 (% of total),2.541 (annual %),39.918 (% of total),56.545 (% of total),3.537 (% of total)
"페로제도",0.353 (annual %),-,-,-,0.370 (annual %),-,-,-,0.385 (annual %),-,-,-
"피지",0.685 (annual %),29.513 (% of total),65.038 (% of total),5.450 (% of total),0.729 (annual %),29.294 (% of total),65.082 (% of total),5.624 (% of total),0.726 (annual %),29.011 (% of total),65.171 (% of total),5.817 (% of total)
"핀란드",0.133 (annual %),16.145 (% of total),62.134 (% of total),21.721 (% of total),0.110 (annual %),16.016 (% of total),61.843 (% of total),22.141 (% of total),0.165 (annual %),15.865 (% of total),61.580 (% of total),22.554 (% of total)
"프랑스",0.274 (annual %),17.956 (% of total),62.009 (% of total),20.035 (% of total),0.219 (annual %),17.802 (% of total),61.806 (% of total),20.391 (% of total),0.212 (annual %),17.654 (% of total),61.593 (% of total),20.753 (% of total)
"프랑스령폴리네시아",0.565 (annual %),22.762 (% of total),68.948 (% of total),8.291 (% of total),0.579 (annual %),22.564 (% of total),68.755 (% of total),8.681 (% of total),0.578 (annual %),22.223 (% of total),68.708 (% of total),9.068 (% of total)
"가봉",2.603 (annual %),37.026 (% of total),59.410 (% of total),3.564 (% of total),2.484 (annual %),37.180 (% of total),59.276 (% of total),3.545 (% of total),2.417 (annual %),37.264 (% of total),59.207 (% of total),3.529 (% of total)
"감비아",2.946 (annual %),44.269 (% of total),53.141 (% of total),2.590 (% of total),2.922 (annual %),44.127 (% of total),53.312 (% of total),2.561 (% of total),2.895 (annual %),43.950 (% of total),53.519 (% of total),2.531 (% of total)
"조지아",-0.039 (annual %),19.795 (% of total),65.339 (% of total),14.865 (% of total),-0.172 (annual %),20.031 (% of total),64.908 (% of total),15.061 (% of total),-0.166 (annual %),20.220 (% of total),64.526 (% of total),15.253 (% of total)
"독일",0.301 (annual %),13.621 (% of total),64.917 (% of total),21.462 (% of total),0.226 (annual %),13.799 (% of total),64.638 (% of total),21.563 (% of total),0.177 (annual %),13.956 (% of total),64.357 (% of total),21.687 (% of total)
"가나",2.193 (annual %),37.596 (% of total),59.335 (% of total),3.069 (% of total),2.163 (annual %),37.365 (% of total),59.538 (% of total),3.097 (% of total),2.131 (annual %),37.131 (% of total),59.728 (% of total),3.140 (% of total)
"그리스",-0.203 (annual %),14.071 (% of total),64.273 (% of total),21.655 (% of total),-0.105 (annual %),13.897 (% of total),64.162 (% of total),21.941 (% of total),-0.056 (annual %),13.656 (% of total),64.060 (% of total),22.284 (% of total)
"그린란드",-0.266 (annual %),-,-,-,0.360 (annual %),-,-,-,0.252 (annual %),-,-,-
"그레나다",0.517 (annual %),23.561 (% of total),66.817 (% of total),9.622 (% of total),0.495 (annual %),23.717 (% of total),66.605 (% of total),9.677 (% of total),0.461 (annual %),23.776 (% of total),66.431 (% of total),9.793 (% of total)
"괌",0.902 (annual %),24.464 (% of total),65.686 (% of total),9.850 (% of total),0.916 (annual %),24.134 (% of total),65.676 (% of total),10.190 (% of total),0.886 (annual %),23.860 (% of total),65.606 (% of total),10.534 (% of total)
"과테말라",1.600 (annual %),34.435 (% of total),60.753 (% of total),4.812 (% of total),1.560 (annual %),33.859 (% of total),61.212 (% of total),4.929 (% of total),1.520 (annual %),33.342 (% of total),61.616 (% of total),5.042 (% of total)
"기니",2.833 (annual %),43.850 (% of total),53.224 (% of total),2.926 (% of total),2.835 (annual %),43.450 (% of total),53.608 (% of total),2.942 (% of total),2.792 (annual %),43.049 (% of total),53.999 (% of total),2.952 (% of total)
"기니비사우",2.494 (annual %),42.339 (% of total),54.837 (% of total),2.824 (% of total),2.457 (annual %),42.154 (% of total),54.983 (% of total),2.863 (% of total),2.421 (annual %),41.927 (% of total),55.187 (% of total),2.886 (% of total)
"가이아나",0.488 (annual %),28.215 (% of total),65.335 (% of total),6.450 (% of total),0.483 (annual %),27.930 (% of total),65.358 (% of total),6.712 (% of total),0.482 (annual %),27.732 (% of total),65.269 (% of total),7.000 (% of total)
"아이티",1.274 (annual %),33.242 (% of total),61.808 (% of total),4.949 (% of total),1.250 (annual %),32.859 (% of total),62.078 (% of total),5.064 (% of total),1.231 (annual %),32.474 (% of total),62.351 (% of total),5.175 (% of total)
"온두라스",1.667 (annual %),31.741 (% of total),63.569 (% of total),4.691 (% of total),1.641 (annual %),31.159 (% of total),64.012 (% of total),4.828 (% of total),1.613 (annual %),30.588 (% of total),64.439 (% of total),4.973 (% of total)
