국가,2018;국내총생산(GDP $),2019;국내총생산(GDP $),합계출산;2015,합계출산;2020,도시화율;2020,평균교육기간(년);2018,1인당 GNI(구매력환산기준 2011) (달러);2018,2020;연간 인구증가율,2020;0~14세 인구 구성비,2020;15~64세 인구 구성비,2020;65세이상 인구 구성비,학년전교육;남자,학년전교육;여자,학년전교육;합계,초등교육;남자,초등교육;여자,초등교육;합계,중등교육;남자,중등교육;여자,중등교육;합계,고등교육;남자,고등교육;여자,고등교육;합계,경제활동참여율;남자,경제활동참여율;여자
자메이카,15730793852.791,15830768549.892,2.08,1.99,56.3,9.8,7932.0,0.436,23.358,67.564,9.078,74.4,74.7,74.5,90.5,89.0,89.8,79.3,83.6,81.4,,,,72.578,59.986
일본,4954806619995.19,5064872875604.59,1.41,1.37,91.8,12.8,40799.0,0.34,12.449,59.154,28.397,,,,,,,,,,,,,71.008,52.703
요르단,42932112676.056,44502895915.493,3.4,2.77,91.4,10.5,8268.0,0.999,32.854,63.192,3.954,26.0,25.8,25.9,81.5,80.0,80.8,61.7,63.6,62.6,29.1,33.3,31.1,63.506,14.404
카자흐스탄,179339994859.384,181667190075.541,2.67,2.76,57.7,11.8,22168.0,1.292,29.144,62.953,7.903,61.9,63.1,62.5,107.9,109.7,108.7,113.7,114.7,114.2,44.4,56.1,50.1,75.062,62.191
케냐,87778582964.139,95503088538.092,4.06,3.52,28.0,6.6,3052.0,2.252,38.59,58.901,2.509,,,,,,,,,,13.2,9.7,11.5,77.528,72.324
키리바시,196737895.995,194647201.946,3.79,3.58,,7.9,3917.0,1.551,35.917,59.868,4.215,,,,97.9,104.9,101.3,,,,,,,,
한국,1724845615629.26,1646739219509.89,1.23,1.11,81.4,12.2,36757.0,0.138,12.543,71.666,15.791,94.9,95.1,95.0,98.2,98.0,98.1,100.6,100.0,100.3,104.8,82.8,94.3,73.089,52.817
쿠웨이트,138182400493.585,136196760180.976,2.1,2.1,100.0,7.3,71164.0,1.498,21.462,75.502,3.036,64.5,66.2,65.3,94.2,97.3,95.7,,,,36.7,77.5,55.4,87.3,49.339
키르기스스탄,8271106196.043,8871019822.767,3.3,3.0,36.9,10.9,3317.0,2.076,32.649,62.623,4.728,38.6,38.8,38.7,107.5,106.6,107.0,94.0,93.8,93.9,38.3,47.5,42.8,75.652,44.455
라오스,17953786416.143,18245925331.24,2.93,2.7,36.3,5.2,6317.0,1.469,31.947,63.794,4.259,42.3,43.4,42.9,108.0,103.9,106.0,70.1,64.9,67.5,15.4,16.0,15.7,,
라트비아,34416012859.187,34055464655.325,1.5,1.72,68.3,12.8,26301.0,0.643,16.432,62.881,20.687,95.9,95.3,95.6,99.3,99.5,99.4,111.3,110.2,110.7,72.0,105.1,88.1,67.864,55.337
